side,entry_time,entry_price,exit_time,exit_price,pnl,reason
1,2025-01-19 16:00:00+00:00,104930.18183999999,2025-01-19 17:00:00+00:00,105078.98,0.005890341281734205,exit_long
1,2025-01-19 17:00:00+00:00,105121.02,2025-01-19 18:00:00+00:00,105003.59508000001,-0.006785225485825307,exit_long
1,2025-01-19 18:00:00+00:00,105045.60492,2025-01-19 19:00:00+00:00,106210.15372,0.05423062943408694,exit_long
1,2025-01-31 15:00:00+00:00,105425.78094,2025-01-31 16:00:00+00:00,104689.57363872405,-0.036115904568681405,stop_long
1,2025-01-31 18:00:00+00:00,102590.41398,2025-01-31 19:00:00+00:00,104614.15148462563,0.09743190068714229,stop_long
1,2025-01-31 19:00:00+00:00,102252.4464,2025-01-31 20:00:00+00:00,104616.83462643808,0.11441524001043758,stop_long
-1,2025-02-01 14:00:00+00:00,101777.6404,2025-02-01 15:00:00+00:00,102043.80467999999,-0.014275773762975874,exit_short
-1,2025-02-01 15:00:00+00:00,102002.99532,2025-02-01 16:00:00+00:00,101866.66926,0.00548245376384927,exit_short
-1,2025-02-01 16:00:00+00:00,101825.93074000001,2025-02-01 18:00:00+00:00,101969.08974,-0.008229594473608298,exit_short
-1,2025-02-01 18:00:00+00:00,101928.31026,2025-02-01 19:00:00+00:00,101642.92452,0.012799336360626034,exit_short
-1,2025-02-01 19:00:00+00:00,101602.27548000001,2025-02-01 20:00:00+00:00,101304.35682,0.013461023022986051,exit_short
-1,2025-02-01 20:00:00+00:00,101263.84318000001,2025-02-01 21:00:00+00:00,101156.42723999999,0.004103765718682295,exit_short
-1,2025-02-01 21:00:00+00:00,101115.97276,2025-02-01 22:00:00+00:00,100620.72012,0.023289337662581473,exit_short
1,2025-02-04 21:00:00+00:00,96482.2926,2025-02-04 22:00:00+00:00,102275.65579851366,0.29902934998715297,stop_long
1,2025-02-05 18:00:00+00:00,96691.53443999999,2025-02-05 19:00:00+00:00,102073.07868749628,0.27708414755563227,stop_long
1,2025-02-05 21:00:00+00:00,96899.376,2025-02-05 22:00:00+00:00,102031.63281263168,0.26362403832155107,stop_long
1,2025-02-05 22:00:00+00:00,96432.68268,2025-02-05 23:00:00+00:00,102043.06743801513,0.289696436876723,stop_long
-1,2025-02-07 10:00:00+00:00,97202.15568000001,2025-02-07 11:00:00+00:00,97725.54119999999,-0.028122526374982013,exit_short
-1,2025-02-07 11:00:00+00:00,97686.45880000001,2025-02-07 12:00:00+00:00,97940.38416,-0.01419695797755716,exit_short
1,2025-02-07 20:00:00+00:00,95730.64229999999,2025-02-07 21:00:00+00:00,101589.84556936531,0.3048254861240661,stop_long
-1,2025-02-08 14:00:00+00:00,96038.18852,2025-02-08 15:00:00+00:00,95822.06057999999,0.01005218745431652,exit_short
-1,2025-02-08 15:00:00+00:00,95783.73942,2025-02-08 16:00:00+00:00,96105.2172,-0.017981438161980723,exit_short
-1,2025-02-08 16:00:00+00:00,96066.7828,2025-02-08 17:00:00+00:00,96328.2618,-0.014809230598695145,exit_short
-1,2025-02-08 17:00:00+00:00,96289.7382,2025-02-08 18:00:00+00:00,96487.49364,-0.011468770260297245,exit_short
-1,2025-02-08 20:00:00+00:00,96398.7164,2025-02-08 21:00:00+00:00,96514.19897999999,-0.007189840130276966,exit_short
-1,2025-02-08 22:00:00+00:00,96410.51404000001,2025-02-08 23:00:00+00:00,96426.08136,-0.0020073455553576143,exit_short
-1,2025-02-08 23:00:00+00:00,96387.51864000001,2025-02-09 00:00:00+00:00,96539.10396000001,-0.00906332723047669,exit_short
-1,2025-02-09 12:00:00+00:00,96468.60242,2025-02-09 13:00:00+00:00,95869.06997999999,0.029873967330313167,exit_short
-1,2025-02-09 13:00:00+00:00,95830.73002,2025-02-09 14:00:00+00:00,96089.81412000001,-0.014717798515462425,exit_short
-1,2025-02-09 14:00:00+00:00,96051.38588,2025-02-09 15:00:00+00:00,96466.7895,-0.022824030522525414,exit_short
1,2025-02-11 13:00:00+00:00,96769.95012000001,2025-02-11 14:00:00+00:00,97961.12583142261,0.060346777173362336,stop_long
-1,2025-02-12 12:00:00+00:00,95913.21351999999,2025-02-12 13:00:00+00:00,94931.18243999999,0.04999373254005434,exit_short
1,2025-02-12 13:00:00+00:00,94931.18243999999,2025-02-12 14:00:00+00:00,97144.83488818795,0.11539248264325952,stop_long
-1,2025-02-12 17:00:00+00:00,97301.83574000001,2025-02-12 18:00:00+00:00,96512.00259063995,0.039386754779764256,stop_short
